"InternalName","OldDisplay","NewDisplay","SkipReason","Action"
"ContentType","Content Type","ContentType","Protected SharePoint column","Skipped"
"Modified","Modified","Modified","Protected SharePoint column","Skipped"
"Created","Created","Created","Protected SharePoint column","Skipped"
"Author","Created By","Author","Protected SharePoint column","Skipped"
"Editor","Modified By","Editor","Protected SharePoint column","Skipped"
"_UIVersionString","Version","_UIVersionString","Protected SharePoint column","Skipped"
"Attachments","Attachments","Attachments","Protected SharePoint column","Skipped"
"Edit","Edit","Edit","Protected SharePoint column","Skipped"
"LinkTitleNoMenu","Title","LinkTitleNoMenu","Protected SharePoint column","Skipped"
"LinkTitle","Title","LinkTitle","Protected SharePoint column","Skipped"
"DocIcon","Type","DocIcon","Protected SharePoint column","Skipped"
"ItemChildCount","Item Child Count","ItemChildCount","Protected SharePoint column","Skipped"
"FolderChildCount","Folder Child Count","FolderChildCount","Protected SharePoint column","Skipped"
"_ComplianceFlags","Label setting","_ComplianceFlags","Protected SharePoint column","Skipped"
"_ComplianceTag","Retention label","_ComplianceTag","Protected SharePoint column","Skipped"
"_ComplianceTagWrittenTime","Retention label Applied","_ComplianceTagWrittenTime","Read-only column","Skipped"
"_ComplianceTagUserId","Label applied by","_ComplianceTagUserId","Read-only column","Skipped"
"_IsRecord","Item is a Record","_IsRecord","Read-only column","Skipped"
"AppAuthor","App Created By","AppAuthor","Protected SharePoint column","Skipped"
"AppEditor","App Modified By","AppEditor","Protected SharePoint column","Skipped"
